Index,Store Id,Name,Type,Route/Jobber,Statement Chain ID,External ID,Address,Last Sale,HHC,Active
1,BGW00025,B GREEN CASH & CARRY 25,Store,203,00735,,1300 S MONROE ST & WASHINGTO BALTIMORE MD. 21230,02/09/2026,True,True
2,CASH0520,Dagmar Hotel,Store,201,,,50 Summit Ave Hagerstown MD. 21740,02/09/2026,True,True
3,CASH3025,Tiger Supermarket,Store,203,,,2495 FREDERICK AVENUE Baltimore MD. 21223,02/09/2026,True,True
4,FLW00490,FOOD LION 0490,Store,206,00978,,25102 Lankford Hwy ONLEY VA. 23418,02/09/2026,True,True
5,FLW00663,FOOD LION 0663,Store,201,00978,,96 SOMERSET BLVD CHARLES TOWN WV. 25414,02/09/2026,True,True
6,FLW00871,FOOD LION 0871,Store,201,00978,,85 MADDEX SQUARE DR SHEPHERDSTOWN WV. 25443,02/09/2026,True,True
7,FLW01179,FOOD LION 1179,Store,206,00978,,4092 LANKFORD HWY EXMORE VA. 23350,02/09/2026,True,True
8,FLW01369,FOOD LION 1369,Store,210,00978,,501 W MAIN ST MIDDLETOWN DE. 19709,02/09/2026,True,True
9,FLW01414,FOOD LION 1414,Store,207,00978,,9500 CRAIN HWY UPPER MARLBORO MD. 20772,02/09/2026,True,True
10,FLW01426,FOOD LION 1426,Store,210,00978,,215 STADIUM ST SMYRNA DE. 19977,02/09/2026,True,True
11,FLW01474,FOOD LION 1474,Store,207,00978,,8741 PINEY ORCHARD PKWY ODENTON MD. 21113,02/09/2026,True,True
12,FLW01528,FOOD LION 1528,Store,210,00978,,2004 MIDWAY DR HARRINGTON DE. 19952-0000,02/09/2026,True,True
13,FLW01543,FOOD LION 1543,Store,204,00978,,121 N CRAIN HWY GLEN BURNIE MD. 21061,02/09/2026,True,True
14,FLW01668,FOOD LION 1668,Store,204,00978,,350 MOUNTAIN RD PASADENA MD. 21122,02/09/2026,True,True
15,FLW02194,FOOD LION 2194,Store,201,00978,,78 WORCHESTER DR FALLING WATERS WV. 25419,02/09/2026,True,True
16,FLW02508,FOOD LION 2508,Store,206,00978,,22485 LANKFORD HWY CAPE CHARLES VA. 23310,02/09/2026,True,True
17,FLW02555,FOOD LION 2555,Store,206,00978,,7013 Lankford Hwy Oak Hall VA. 23416,02/09/2026,True,True
18,IND00045,Ner Israel Rabbinical Col,Store,211,,,400 Mount Wilson Ln Baltimore MD. 21208,02/09/2026,True,True
19,SRW00567,SHOP RITE 567,Store,204,00844,,2401 CLEANLEIGH DR PARKVILLE MD. 21234-6808,02/09/2026,True,True
20,SRW00568,SHOP RITE 568,Store,204,00844,,4601 LIBERTY HEIGHTS AVE BALTIMORE MD. 21207-7553,02/09/2026,True,True
21,SV000001,Seven Mile Market,Store,211,,,201 Reisterstown Rd Pikesville MD. 21208,02/09/2026,True,True
