,,206 - eastern shore,,2/26/26,,,,,,,,2.27,,,,Cases,Bags, Cost 
,TYPE,Description, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,Total,169,"1,722","$6,538.62"
,,DEEP RIVER,,,,,,,,,,,,,Invoice #:  ,,,
1,D/RIV/S,000040 - 1.49 Dr Orig Ch, $ 1.05 ,24,6.00,144,151.20,0.00,0.00,151.20,25.2,,0, $ -   ,WH Cases:  ,,,
2,D/RIV/S,000042 - 1.4 Dr S/v Chip, $ 1.05 ,24,2.00,48,50.40,0.00,0.00,50.40,,,0, $ -   ,WH Amount:  ,,,
,D/RIV/S, 000051 - 1.4 Dill Pickle, $ 1.05 ,24,3.00,72,75.60,0.00,0.00,75.60,,,0, $ -   ,Load #:  ,,,
3,D/RIV/S, 000043 - 1.4 Dr Jalp Chp, $ 1.05 ,24,3.00,72,75.60,0.00,0.00,75.60,,,0, $ -   ,DRV Cases:  ,,,
4,D/RIV/S, 000045 - 1.49 Dr BBQ Ch, $ 1.05 ,24,3.00,72,75.60,0.00,0.00,75.60,,,0, $ -   ,DRV Amount:  ,,,
5,D/RIV/S, 000049 - 1.49 Dr Sc/o Ch, $ 1.05 ,24,1.00,24,25.20,0.00,0.00,25.20,,,0, $ -   ,,,,
1,D/RIV/L, 010008 - Dr Org Sltd K, $ 3.70 ,12,5.00,60,222.00,0.00,48.00,174.00,,,0, $ -   ,,,,
2,D/RIV/L, 010009 - Dr Mesq BBQ, $ 3.70 ,12,3.00,36,133.20,0.00,28.80,104.40,,,0, $ -   ,,,,
3,D/RIV/L, 010010 - Dr Slt&vngr, $ 3.70 ,12,4.00,48,177.60,0.00,38.40,139.20,,,0, $ -   ,,,,
4,D/RIV/L, 010011 - Dr Swt Mui Oni, $ 3.70 ,12,2.00,24,88.80,0.00,19.20,69.60,,,0, $ -   ,,,,
5,D/RIV/L, 010012 - Dr Zsty Jlp, $ 3.70 ,12,2.00,24,88.80,0.00,19.20,69.60,,,0, $ -   ,,,,
6,D/RIV/L, 010013 - Dr Sco, $ 3.70 ,12,1.00,12,44.40,0.00,0.00,44.40,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,.50 CENTS, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,CHIPS , 027124 - .50 W Pln Chips, $ 0.36 ,40,8.00,96,84.48,0.00,0.00,84.48,,,0, $ -   ,,,,
2,CHIPS , 027185 - .50  Honey/bbq, $ 0.36 ,40,19.25,770,277.20,0.00,0.00,277.20,,,0, $ -   ,,,,
3,CHIPS , 028748 - .50 W O/g Chips, $ 0.36 ,40,,,,,,,,,0, $ -   ,,,,
4,CHIPS , 027519 - .50 W BBQ Chips, $ 0.36 ,40,27.95,1174,422.64,0.00,0.00,422.64,,,0, $ -   ,,,,
5,RIDGIES, 028749 - .50 W Chd/sc Ri, $ 0.36 ,40,68.60,686,2325.54,0.00,513.78,1811.76,,,0, $ -   ,,,,
6,RIDGIES, 027511 - .50 W  SCO  Ri, $ 0.36 ,40,68.60,686,2325.54,0.00,513.78,1811.76,,,0, $ -   ,,,,
7,CHIPS , 028758 - .50 Ny Deli Jal, $ 0.36 ,40,1.60,24,55.20,0.00,(14.40),69.60,,,0, $ -   ,,,,
8,CHIPS , 028757 - .50 Orig Ny Deli, $ 0.36 ,40,20.00,20,298.00,0.00,2.40,295.60,,,0, $ -   ,,,,
9,POPCORN, 027197 - .50 Wh/chd Pop, $ 0.36 ,42,20.00,800,288.00,0.00,0.00,288.00,,,0, $ -   ,,,,
10,POPCORN, 027036 - .50 Butter Pop, $ 0.36 ,42,26.00,1092,393.12,0.00,0.42,392.70,,,0, $ -   ,,,,
11,POPCORN, 028635 - .50 Hot Chz Pop, $ 0.36 ,42,80.10,801,2715.39,0.00,623.84,2091.55,,,0, $ -   ,,,,
12,DIPSY, 027064 - .50 W Dipsy Doo, $ 0.36 ,42,96.00,4032,1451.52,0.00,0.00,1451.52,,,0, $ -   ,,,,
13,DIPSY, 028768 - .50 BBQ Dipsy, $ 0.36 ,42,28.00,280,949.20,0.00,247.20,702.00,,,0, $ -   ,,,,
14,DOODLE, 027388 - .50 W Chrn Dood, $ 0.36 ,42,19.00,798,287.28,0.00,0.00,287.28,,,0, $ -   ,,,,
15,PUFF, 028119 - .50 W BBQ hny Puff, $ 0.36 ,42,10.00,400,144.00,0.00,0.00,144.00,,,0, $ -   ,,,,
,, 028786  .50 Fiery, $ 0.36 ,42,10.00,400,144.00,0.00,0.00,144.00,,,0, $ -   ,,,,
,, 028750  .50 Hot Honey, $ 0.36 ,42,10.00,400,144.00,0.00,0.00,144.00,,,0, $ -   ,,,,
16,PUFF, 027043 - .50 W Puff Doodle, $ 0.36 ,42,28.00,1176,423.36,0.00,0.42,422.94,,,0, $ -   ,,,,
17,ONION , 027074 - .50 W Onion Rng, $ 0.36 ,36,183.00,6588,2371.68,0.00,0.00,2371.68,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,2.49 PRODUCTS, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,Cases,Bags, Cost ,,,,
1,CHIPS ,028725- 2.49 onion garlic, $ 1.79 ,18,,,,,,,,,0, $ -   ,, ,,
2,CHIPS, 028723 - 2.49 Pln Chips, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
3,CHIPS, 028724 - 2.49 Hny BBQ Ch, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
4,PUFF, 028734 - 2.49 Puff Doodl, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
5,PUFF, 028736 - 2.49 Hot/hny Do, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
6,POPCORN, 028737 - 2.49 Wht C Pop, $ 1.79 ,16,,,,,,,,,0, $ -   ,,,,
7,POPCORN, 028739 - 2.49 Hot Pop, $ 1.79 ,16,,,,,,,,,0, $ -   ,,,,
8,POPCORN, 028738 - 2.49 Butter Pop, $ 1.79 ,16,,,,,,,,,0, $ -   ,,,,
9,RIDGIES, 028732 - 2.49 Sc/o Ridgi, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
10,RIDGIES ,028731 -  2.49 plain ridges, $ 1.79 ,18,,,,,,,,,0, $ -   ,,,,
11,ONION , 028740 - 2.49 Onion Ring, $ 1.79 ,16,,,,,,,,,0, $ -   ,,,,
,,,,,,,,,,,,0,0, $ -   ,,,,
,,4.79 PRODUCTS,,,,,,,,,,,,,,,,
,,Description, price ,Bags,Cases,Units,Gross $,Discount $,Promo $,Net $,,,Bags, Cost ,,,,
